day_of_season,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,mean_accuracy
47,-0.800197987,-4.245007103,0.266090138,-1.181330029,0.150162017,1.359955978,-4.838578515,-0.459574468,-3.953294412,-5.058833634,-3.839137645,-5.343063244,-6.026222895,-9.406291887,2.340869008,1.891611461,-0.287960153,0.030263636
48,-0.956937799,-4.203225537,0.083153168,-0.999586948,0.181775073,1.249901737,-4.562088314,-0.646808511,-4.070058382,-5.084600189,-3.905472637,-5.33467539,-6.001008573,-9.240715919,2.228635562,1.803815149,-0.256829325,0.029887817
49,-0.948688335,-4.102949779,0.257774821,-1.26394052,0.25290445,1.249901737,-4.391314955,-0.510638298,-4.070058382,-5.161899854,-3.839137645,-5.385002516,-6.009413347,-9.319561618,2.03623537,1.763907734,-0.077827068,0.029788916
50,-0.932189408,-4.270076042,0.473973058,-0.991325898,0.205484865,1.226318686,-4.220541596,-0.612765957,-3.869891576,-5.256377222,-4.054726368,-5.242408992,-6.345604303,-9.295907908,1.731601732,1.676111422,0.054478948,0.029682226
51,-0.956937799,-4.069524526,0.681855979,-0.78479967,0.213388129,1.367816996,-4.131088883,-0.595744681,-4.053377815,-5.479687366,-4.195688226,-5.510820332,-6.269961338,-9.422061027,1.77970178,1.620241041,-0.015565414,0.030087212
52,-0.824946378,-3.726915685,0.681855979,-0.850888063,0.063226112,1.124125462,-4.009107912,-0.374468085,-4.203502919,-5.402387701,-4.228855721,-5.636638148,-6.303580434,-9.374753607,1.515151515,1.548407694,0.015565414,0.029343751
53,-0.585711929,-3.84390407,0.773324464,-1.082197439,0.007903264,0.856850877,-3.765145971,-0.221276596,-4.203502919,-5.393798849,-4.237147595,-5.930213052,-6.463271138,-9.398407317,1.579284913,1.452629899,0.093392482,0.02934586
54,-0.585711929,-3.877329322,0.723432563,-0.999586948,-0.031613056,0.668186463,-3.586240546,-0.238297872,-4.303586322,-5.419565404,-4.402985075,-6.014091595,-6.404437721,-9.374753607,1.635401635,1.388778035,0.326873687,0.029400513
55,-0.61046032,-3.84390407,0.473973058,-0.883932259,0.03951632,0.652464429,-3.537448158,-0.187234043,-4.245204337,-5.410976552,-4.469320066,-6.282502936,-6.530509329,-9.429945596,1.515151515,1.42868545,0.435831582,0.029398271
56,-0.569213001,-4.061168213,0.723432563,-0.950020653,0.110645697,0.56599324,-3.391070993,0.017021277,-4.437030859,-5.539809327,-4.651741294,-6.391545043,-6.614557068,-9.453599306,1.579284913,1.356852103,0.521441357,0.029961428
57,-0.767200132,-3.969248767,0.898054216,-0.883932259,0.055322848,0.471661033,-3.122712857,0,-4.595496247,-5.488276217,-4.618573798,-6.42509646,-6.698604808,-9.745328392,1.611351611,1.34887062,0.482527823,0.030107211
58,-0.725952813,-3.902398262,1.056045235,-0.908715407,-0.023709792,0.56599324,-2.935675368,,-4.361968307,-5.282143777,-4.56053068,-6.433484315,-6.278366112,-9.414176457,1.491101491,1.0775002,0.31909098,0.030835533
59,-0.577462465,-3.710203058,1.097621819,-0.718711276,-0.118548961,0.526688153,-3.098316663,,-4.161801501,-5.093189041,-4.245439469,-6.139909411,-5.975794251,-9.295907908,1.40291807,1.141352063,0.350221807,0.029783804
60,-0.618709784,-3.618283613,0.889738899,-1.007847997,-0.300324034,0.33802374,-2.960071562,,-3.669724771,-4.689513012,-4.021558872,-6.072806576,-5.925365608,-8.988409682,1.074234408,1.093463165,0.280177446,0.028467658
61,-0.692954958,-3.534720481,0.848162315,-0.958281702,-0.29242077,0.298718654,-2.878750915,,-3.694745621,-4.603624495,-3.747927032,-5.552759604,-5.605984199,-8.917448553,1.14638448,1.021629819,0.451396996,0.027653694
62,-0.791948523,-3.626639926,0.881423582,-0.859149112,-0.379356674,0.385189844,-2.748637879,,-3.519599666,-4.388903204,-3.573797678,-5.368226808,-5.37065053,-8.767641725,1.242584576,0.86200016,0.46696241,0.027020445
63,-0.84969477,-3.710203058,0.856477632,-0.941759603,-0.497905635,0.416633912,-2.699845491,,-3.536280234,-4.06252684,-3.325041459,-5.217245429,-5.252983695,-8.649373177,1.322751323,0.885944609,0.505875944,0.026706589
64,-0.956937799,-3.618283613,1.080991186,-0.718711276,-0.545325219,0.589576291,-2.569732455,,-3.41117598,-3.95946062,-3.150912106,-4.957221943,-5.219364599,-8.531104628,1.106301106,0.638518637,0.482527823,0.025960091
65,-0.91569048,-3.509651542,1.12256777,-0.470879802,-0.719197028,0.62102036,-2.56160039,,-3.152627189,-3.787683587,-3.134328358,-4.890119108,-5.017650025,-8.239375542,1.058201058,0.742277915,0.443614289,0.025241553
66,-0.899191553,-3.334168965,1.238982205,-0.644361834,-0.632261124,0.518827136,-2.618524843,,-2.935779817,-3.44412952,-2.968490879,-4.630095622,-4.773911582,-8.058030434,0.970017637,0.367148216,0.552572185,0.024116558
67,-0.775449596,-3.24224952,1.080991186,-0.68566708,-0.561131747,0.416633912,-2.56160039,,-2.910758966,-3.358241003,-2.893864013,-4.596544204,-4.639435199,-7.884569897,1.026134359,0.311277835,0.583703012,0.023455157
68,-0.626959248,-3.24224952,1.031099285,-0.834365964,-0.576938276,0.393050861,-2.488411808,,-2.577147623,-3.006098085,-2.877280265,-4.479114243,-4.572197008,-7.387841993,0.76960077,0.119722244,0.700443614,0.022301576
69,-0.626959248,-3.325812651,1.14751372,-0.693928129,-0.576938276,0.393050861,-2.520940067,,-2.443703086,-2.842909903,-2.827529022,-4.370072136,-4.395696756,-7.316880864,0.721500722,0.151648176,0.568137598,0.021827013
70,-0.84969477,-3.284031085,1.263928156,-0.793060719,-0.537421955,0.42449493,-2.415223225,,-2.535446205,-2.628188611,-2.902155887,-4.344908572,-4.261220373,-6.977844359,0.801667468,0.103759278,0.653747373,0.021735496
71,-0.808447451,-2.999916437,1.280558789,-0.743494424,-0.379356674,0.267274585,-2.301374319,,-2.59382819,-2.636777463,-2.728026534,-4.051333669,-4.143553538,-6.985728928,0.785634119,0.287333387,0.451396996,0.020902522
72,-0.899191553,-2.916353305,1.247297522,-0.702189178,-0.387259938,0.290857637,-2.260713995,,-2.326939116,-2.516533539,-2.736318408,-4.160375776,-3.992267608,-6.84380667,0.689434023,0.287333387,0.474745116,0.02045726
73,-0.791948523,-2.674020222,1.222351572,-0.594795539,-0.434679523,0.314440689,-2.333902578,,-2.24353628,-2.293223396,-2.661691542,-3.984230834,-3.765338712,-6.693999842,0.745550746,0.383111182,0.287960153,0.019640488
74,-0.635208711,-2.465112392,1.280558789,-0.570012392,-0.497905635,0.251552551,-2.342034643,,-2.12677231,-2.078502104,-2.570480929,-3.858413018,-3.689695747,-6.489001025,0.665383999,0.367148216,0.070044361,0.018723642
75,-0.643458175,-2.356480321,1.280558789,-0.702189178,-0.482099107,0.227969499,-2.431487355,,-2.110091743,-2.061324401,-2.412935323,-3.522898842,-3.361909565,-6.402270756,0.793650794,0.407055631,0.163436843,0.018349885
76,-0.725952813,-2.272917189,1.172459671,-0.570012392,-0.474195843,0.188664413,-2.26884606,,-1.909924937,-2.001202439,-2.412935323,-3.413856735,-3.252647504,-6.08688796,0.705467372,0.43100008,0.132306016,0.017512048
