day_of_season,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean_accuracy
28,-0.4867183633063851,-5.774212417481407,1.25561283884916,-2.1561338289962824,0.2133881292973998,2.924298404213505,-7.611612588436204,-7.179103236003661,6.246872393661384,1.8036588508116465,4.601990049751244,1.4594866633115249,-0.4286434694906707,0.6307655917369708,5.010421677088344,3.3202969111660945,0.5681375982566736,-2.301688435807582,0.029985023026481192
29,-0.6187097838640488,-5.757499791092171,1.3720272742391486,-1.8339529120198266,0.18967833715324428,2.8928543353509943,-7.644140847361144,-7.220697113384909,5.663052543786488,2.181568324315039,4.9502487562189055,2.0214729072303306,-0.38661959993276185,0.22865252700465188,5.058521725188392,3.080852422380078,0.34243910031909097,-2.1185090793246255,0.029756387433425475
30,-0.7836990595611284,-5.690649285535222,1.0809911857641776,-1.5613382899628252,2.1259780289259465,2.484081440138354,-7.782385947792145,-7.6948673155311536,5.1209341117598,1.597526410718887,4.585406301824213,1.8788793826539172,-0.15128593040847202,0.3469210754553339,4.3931377264710605,3.144704286056349,0.3891353412716943,-1.7760433258999682,0.029215535803183697
31,-0.8909420887642303,-5.523523021642851,1.2888741061034426,-1.734820322180917,2.1813008772623093,2.4133322851977046,-7.741725624135968,-7.644954662673655,4.829024186822352,1.107961865498583,4.618573797678275,2.0214729072303306,0.05883341738107245,0.2523062366947883,4.745871412538079,3.2484635645302897,0.07004436142890498,-1.8716151640649887,0.029024244389904856
32,-0.6187097838640488,-5.055569482744214,1.3720272742391486,-1.520033044196613,1.7940409389077687,2.2561119408851504,-7.644140847361144,-7.403710173862407,4.3035863219349455,1.8380142574937732,4.585406301824213,2.1389028686462,0.05883341738107245,0.14980682803753056,4.144620811287478,2.8015005187963924,-0.3268736866682232,-1.7919719655941382,0.02766881136873581
33,-0.9981851179673321,-4.846661652878749,1.2057209379677365,-1.9413465510119785,1.5016201691298505,2.2089458375913846,-7.49776368219891,-7.15414690957491,4.078398665554628,1.7349480374473931,4.817578772802653,2.4408656265727227,0.24373844343587156,-0.11038397855396988,4.27288760622094,2.6498523425652487,-0.17121955015954549,-1.6008282892640966,0.02748616231716552
34,-1.047681900676456,-4.721316954959471,0.38250457342424743,-1.9909128459314331,1.3672646803129693,2.161779734297618,-7.49776368219891,-6.846352216953664,4.220183486238533,1.6318818174010135,4.933665008291873,2.4995806072806577,0.3109766347285258,0.2523062366947883,3.984287317620651,2.3864634049006304,-0.49809323682776874,-1.4813634915578209,0.026785765461276125
35,-0.9321894076885002,-4.537478064677864,0.39913520705138866,-2.1230896323833126,1.2012961353038805,2.0202814244163196,-7.457103358542734,-6.596788952666167,3.861551292743953,1.6490595207420768,5.132669983416252,2.3905385002516355,0.680786686838124,0.2523062366947883,4.176687510020844,2.7855375528773245,-0.5370067709549381,-1.768079006052883,0.026945325135179436
36,-0.8166969147005444,-4.5876159438455755,0.45734242474638287,-2.0156959933911605,1.2012961353038805,2.193223803160129,-7.587216394242498,-6.397138341236171,3.71976647206005,1.8208365541527098,4.983416252072968,2.474417044120114,0.7900487476886872,0.33115193566190965,3.9602372935706267,2.354537473062495,-0.5370067709549381,-1.7919719655941382,0.02667756469975832
37,-0.9239399439036462,-4.512409125094009,0.6319640778313653,-1.982651796778191,0.9721014779103769,2.0202814244163196,-7.554688135317557,-5.947924465518676,3.527939949958299,1.5889375590483552,4.72636815920398,2.4492534809595705,0.680786686838124,0.43365134431916735,3.8480038480038483,2.091148535397877,-0.6926609074636159,-1.4813634915578209,0.02559226356084489
38,-0.8661936974096683,-4.286788668839308,0.5654415433228006,-1.751342420487402,0.7824231407571327,1.9023661661819038,-6.8553305684313255,-6.1558938524249225,3.7030859049207674,1.863780812505368,4.519071310116087,2.2479449756752223,0.5967389477223062,0.3863439249388946,3.695687029020362,1.8596855295713945,-0.8016188030196902,-1.5848996495699268,0.02468035385828583
39,-0.585711928724633,-4.495696498704771,0.46565774155995343,-1.6274266831887647,0.4267762585947996,1.6115085292036788,-6.473123526063268,-5.8896930371849265,3.5946622185154293,1.8466031091643047,4.411276948590381,2.2479449756752223,0.4622625651369978,0.4415359142158795,3.663620330286997,1.8517040466118604,-0.8483150439722935,-2.022937241159605,0.023870253664752088
40,-0.6269592476489028,-4.545834377872483,0.22451355396640613,-1.7017761255679469,0.5374219552675255,1.587925477556796,-6.448727331869562,-5.8896930371849265,3.769808173477898,1.863780812505368,4.203980099502488,2.0718000335514177,0.43704824340225246,0.583458172356698,3.495270161936829,1.7639077340569878,-0.5136586504786365,-1.8079006052883084,0.023374146551939687
